from_date,to_date,chapter,ledger_account,characteristic,balance_in_rub,balance_in_val,balance_in_total,turn_deb_rub,turn_deb_val,turn_deb_total,turn_cre_rub,turn_cre_val,turn_cre_total,balance_out_rub,balance_out_val,balance_out_total,account_rk
2018-01-01,2018-01-31,,30424,А,254503669.5,0,254503669.5,118258784.28,0,118258784.28,130189254.72,0,130189254.72,-195091963.08,0,-195091963.08,
2018-01-01,2018-01-31,,30204,А,11083.66,0,11083.66,,0,,,0,,0,0,0,
2018-01-01,2018-01-31,,30102,А,6802708104.08,0,6802708104.08,10950062643.8,0,10950062643.8,11029877744.2,0,11029877744.2,-1356856706.80021,0,-1356856706.80021,
2018-01-01,2018-01-31,,30111,П,3932328293.76,0,3932328293.76,2373420715.82,0,2373420715.82,2412129209.84,0,2412129209.84,627087738.760003,0,627087738.760003,
2018-01-01,2018-01-31,,30220,П,0,562116444.68,562116444.68,0,31689634.76,31689634.76,0,33158368.74,33158368.74,0,15619838.22,15619838.22,
2018-01-01,2018-01-31,,30222,П,431538.94,1309382.96,1740921.9,0,0,,0,0,,0,0,0,
2018-01-01,2018-01-31,,30109,П,127783.92,0,127783.92,,0,,,0,,0,0,0,
2018-01-01,2018-01-31,,30413,А,5833670.84,0,5833670.84,36513911.14,0,36513911.14,33354819.96,0,33354819.96,53704550.0600001,0,53704550.0600001,
2018-01-01,2018-01-31,,30114,А,0,717297921.76,717297921.76,0,522924863.44,522924863.44,0,489676380.2,489676380.2,0,497408695.840001,497408695.840001,
2018-01-01,2018-01-31,,30126,П,134448.12,0,134448.12,,0,,,0,,0,0,0,
2018-01-01,2018-01-31,,12345,A,,0,,,0,,,0,,,0,,
2018-01-01,2018-01-31,,30202,А,259108,0,259108,612886.12,0,612886.12,1313474.12,0,1313474.12,-700588,0,-700588,
2018-01-01,2018-01-31,,30233,А,117933.14,168483.16,286416.3,0,0,,0,0,,0,0,0,
2018-01-01,2018-01-31,,30221,А,139770.14,669977.1,809747.24,0,0,,0,0,,0,0,0,
2018-01-01,2018-01-31,,12345,P,,0,,,0,,,0,,,0,,
2018-01-01,2018-01-31,,30232,П,173809.32,131186.96,304996.28,0,0,,0,0,,0,0,0,
2018-01-01,2018-01-31,,30236,П,78141.3,1836151.14,1914292.44,0,60001919.04,60001919.04,0,58617272.98,58617272.98,0,-9303371.84000004,-9303371.84000004,
2018-01-01,2018-01-31,,30110,А,13252081.96,497845.6,13749927.56,14418722.22,0,14418722.22,15171361.1,0,15171361.1,-3662748.18000002,0,-3662748.18000002,
2018-01-01,2018-01-31,,30223,П,1629321.34,0,1629321.34,221330874.8,0,221330874.8,220944871.7,0,220944871.7,-6562052.69999939,0,-6562052.69999939,
2018-01-01,2018-01-31,,30425,А,175240.94,76636.26,251877.2,0,0,,0,0,,0,0,0,
